source,run_label,campaign_id,profile,policy,champion_id,champion_title,champion_score,finalist_count,integrity_status,champion_decision,novelty_confidence,technical_plausibility,started_at
phase9e_burnin,BE1,a1b2c3d4e5f64e7a,evaluation_daily_clean_energy,evidence_diversity_v1,,Mechanistic Catalyst Screening via Evidence-Driven Bridge Selection for Green Ammonia,0.9205,3,integrity_ok,approve,0.87,0.87,
phase9e_burnin,BE2,f6e7d8c9b0a14f2b,evaluation_daily_clean_energy,evidence_diversity_v1,,Redox-Neutral Radical Coupling for Direct CO2-to-Formate Electroreduction,0.9205,3,integrity_ok,approve,0.86,0.86,
phase9e_burnin,BE3,2c3d4e5f6a7b4839,evaluation_daily_clean_energy,evidence_diversity_v1,,Mechanistic Interface Engineering for Long-Cycle Sodium-Ion Battery Anodes,0.9105,6,integrity_ok,approve,0.85,0.85,
phase9e_burnin,BP1,9d0e1f2a3b4c4b5d,production_daily_clean_energy,evidence_diversity_v1,,Dynamic Vacancy Ordering in NiFe-LDH for Oxygen Evolution Rate Enhancement,0.9205,5,integrity_ok,approve,0.88,0.87,
phase9e_burnin,BP2,6e7f8a9b0c1d4c6e,production_daily_clean_energy,evidence_diversity_v1,,Quantum Confined Sulfide Networks for Photocatalytic Nitrogen Reduction,0.9105,5,integrity_ok,approve,0.85,0.86,
phase9e_burnin,BP3,3f0a1b2c3d4e4d7f,production_daily_clean_energy,evidence_diversity_v1,,Covalent Organic Framework Scaffolds for Lithium-Sulfur Battery Polysulfide Trapping,0.893,5,integrity_ok,defer,0.81,0.82,
phase9f_shadow,9F-S1,822e6c4ed82445c0,production_shadow,evidence_diversity_v1,88d39adc457540a6,Carrier Lifetime Extension via Trap-State Suppression in Tandems,0.921,3,integrity_ok,APPROVE,,,2026-03-12T00:06:59Z
phase9f_shadow,9F-S2,91303a97ac2a49b4,production_shadow,evidence_diversity_v1,d9ee75b5a8384273,Thermally Stabilized Tandem Junctions via Waste Heat Sink Integration,0.921,3,integrity_ok,APPROVE,,,2026-03-12T00:23:39Z
phase9f_shadow,9F-S3,2fe8e0adf40f4228,production_shadow,evidence_diversity_v1,2372f29887e347a4,Thermal-to-Chemical Coupling for High-Temp Battery Safety,0.921,6,integrity_ok,APPROVE,,,2026-03-12T00:40:18Z
phase9f_shadow,9F-S4,68e67ae1b4e3497e,production_shadow,evidence_diversity_v1,d75ec2c5409a44cc,NiFe-LDH Membrane Integration for Seawater Electrolysis Stability,0.911,3,integrity_ok,APPROVE,,,2026-03-12T01:09:35Z
phase9f_shadow,9F-S5,66ac0fe88fec4a14,production_shadow,evidence_diversity_v1,f6e67d8819224ec0,NiFe-LDH Anode Coupling with Low-Temp DAC for Integrated Green H2/DAC Systems,0.912,3,integrity_ok,APPROVE,,,2026-03-12T01:25:54Z
phase9f_shadow,9F-S6,8d70f1d2580548f3,production_shadow,evidence_diversity_v1,0d84a554efb44391,High-Energy Density Argyrodite Coatings for Lightning Protection,0.893,3,integrity_ok,APPROVE,,,2026-03-12T01:42:28Z
phase9f_formal_eval,9F-E1,9e5d26795855404c,evaluation_daily_clean_energy,evidence_diversity_v1,69a843c5ed7641d7,Waste Heat-Driven Regeneration of Perovskite-Sorbent Hybrid DAC Units,0.8855,6,integrity_ok,approve,0.86,0.87,2026-03-12T04:41:23Z
phase9f_formal_prod,9F-P1,2395a2325d554f20,production_daily_clean_energy,evidence_diversity_v1,71a319f7bdeb43ce,Anion-Membrane Inspired Hydrophobic Insulation for Moisture-Resistant Walls,0.913,5,integrity_ok,approve,0.87,0.88,2026-03-12T05:06:15Z
